count	time	from	to	dataset	dpt	mlt
1	2002.5	ZM	TZ	locrisk260.1	TempEst	FastTree
2	2007.66164	ZM	MW	locrisk260.1	TempEst	FastTree
3	2003.2479400000002	ZM	ZA	locrisk260.1	TempEst	FastTree
4	2008.5765000000001	ZM	MW	locrisk260.1	TempEst	FastTree
5	1941.4482600000001	ZM	SE	locrisk260.1	TempEst	FastTree
6	2003.5	SE	ZM	locrisk260.1	TempEst	FastTree
7	1950.6853100000001	SE	KE	locrisk260.1	TempEst	FastTree
8	2006.9520500000001	KE	TZ	locrisk260.1	TempEst	FastTree
9	1954.2340100000001	KE	BR	locrisk260.1	TempEst	FastTree
10	2009.5548000000001	BR	ZA	locrisk260.1	TempEst	FastTree
11	2001.5000200000002	BR	AR	locrisk260.1	TempEst	FastTree
12	2001.5000100000002	BR	UY	locrisk260.1	TempEst	FastTree
13	2015.5493300000001	BR	ES	locrisk260.1	TempEst	FastTree
14	1999.49999	SE	IL	locrisk260.1	TempEst	FastTree
15	2008.49999	SE	ET	locrisk260.1	TempEst	FastTree
16	1998.49999	SE	IL	locrisk260.1	TempEst	FastTree
17	2005.5	SE	KE	locrisk260.1	TempEst	FastTree
18	1958.3959000000002	SE	ET	locrisk260.1	TempEst	FastTree
19	1987.7574400000001	ET	US	locrisk260.1	TempEst	FastTree
20	1999.5000100000002	SE	IL	locrisk260.1	TempEst	FastTree
21	1948.5717500000001	ZM	BW	locrisk260.1	TempEst	FastTree
22	1942.5702800000001	ZM	TZ	locrisk260.1	TempEst	FastTree
23	1998.5	ZM	ZA	locrisk260.1	TempEst	FastTree
24	1996.49999	ZM	BW	locrisk260.1	TempEst	FastTree
25	1990.3328700000002	ZM	ZA	locrisk260.1	TempEst	FastTree
26	2004.49999	ZM	KE	locrisk260.1	TempEst	FastTree
27	1956.83681	ZM	SN	locrisk260.1	TempEst	FastTree
28	2015.6643800000002	ZM	ZA	locrisk260.1	TempEst	FastTree
29	2000.5	ZM	ZA	locrisk260.1	TempEst	FastTree
30	2008.5	ZM	MW	locrisk260.1	TempEst	FastTree
31	1954.2535700000001	ZM	SE	locrisk260.1	TempEst	FastTree
32	2002.49999	SE	YE	locrisk260.1	TempEst	FastTree
33	1999.4999800000001	SE	IL	locrisk260.1	TempEst	FastTree
34	2008.4999800000001	SE	ET	locrisk260.1	TempEst	FastTree
35	1943.0660500000001	ZM	ZA	locrisk260.1	TempEst	FastTree
36	2009.49999	ZA	MW	locrisk260.1	TempEst	FastTree
37	2007.8917800000002	ZA	MW	locrisk260.1	TempEst	FastTree
38	2014.5	ZA	TH	locrisk260.1	TempEst	FastTree
39	2009.59041	ZA	BG	locrisk260.1	TempEst	FastTree
40	2003.49999	ZM	GE	locrisk260.1	TempEst	FastTree
41	2008.9398800000001	ZM	TZ	locrisk260.1	TempEst	FastTree
42	2014.4999800000001	ZM	SE	locrisk260.1	TempEst	FastTree
43	1999.4999800000001	ZM	ZA	locrisk260.1	TempEst	FastTree
44	2009.5712100000001	ZM	SE	locrisk260.1	TempEst	FastTree
45	2001.4999800000001	ZM	TZ	locrisk260.1	TempEst	FastTree
46	2007.6808000000001	ZM	MW	locrisk260.1	TempEst	FastTree
47	1986.65498	ZM	ES	locrisk260.1	TempEst	FastTree
48	1960.2289300000002	ZM	BW	locrisk260.1	TempEst	FastTree
49	1952.5314000000001	ZM	MW	locrisk260.1	TempEst	FastTree
50	1998.4999800000001	MW	ZA	locrisk260.1	TempEst	FastTree
51	2003.83149	ZM	TZ	locrisk260.1	TempEst	FastTree
52	2003.4999800000001	ZM	SE	locrisk260.1	TempEst	FastTree
53	1954.7428100000002	ZM	TZ	locrisk260.1	TempEst	FastTree
54	1947.0648600000002	ZM	BW	locrisk260.1	TempEst	FastTree
55	2005.26503	ZM	TZ	locrisk260.1	TempEst	FastTree
56	2012.5	ZM	SE	locrisk260.1	TempEst	FastTree
57	1983.6868800000002	ZM	MW	locrisk260.1	TempEst	FastTree
58	1997.2293300000001	ZM	ES	locrisk260.1	TempEst	FastTree
59	2008.5	ES	NG	locrisk260.1	TempEst	FastTree
60	1993.0022000000001	ZM	ES	locrisk260.1	TempEst	FastTree
61	1949.5437200000001	ZM	ZA	locrisk260.1	TempEst	FastTree
62	2007.5	ZA	MW	locrisk260.1	TempEst	FastTree
63	2001.49999	ZM	ZA	locrisk260.1	TempEst	FastTree
64	2014.49999	ZM	US	locrisk260.1	TempEst	FastTree
65	2004.4397200000001	ZM	TZ	locrisk260.1	TempEst	FastTree
66	2001.5	ZM	TZ	locrisk260.1	TempEst	FastTree
67	1994.5	ZM	IN	locrisk260.1	TempEst	FastTree
68	1997.5	ZM	ZA	locrisk260.1	TempEst	FastTree
69	2010.5	ZM	DE	locrisk260.1	TempEst	FastTree
70	1949.3480200000001	ZM	ZA	locrisk260.1	TempEst	FastTree
71	2016.6612	ZA	BE	locrisk260.1	TempEst	FastTree
72	2012.49999	ZA	SE	locrisk260.1	TempEst	FastTree
73	1950.46352	ZM	BW	locrisk260.1	TempEst	FastTree
74	1953.46425	ZM	TZ	locrisk260.1	TempEst	FastTree
75	1948.5652200000002	ZM	TZ	locrisk260.1	TempEst	FastTree
76	2001.49999	TZ	DK	locrisk260.1	TempEst	FastTree
77	2000.49999	TZ	KE	locrisk260.1	TempEst	FastTree
78	1989.49999	TZ	SO	locrisk260.1	TempEst	FastTree
79	2007.4999800000001	TZ	ES	locrisk260.1	TempEst	FastTree
80	2009.4426100000001	TZ	ZA	locrisk260.1	TempEst	FastTree
81	2008.9863200000002	TZ	MW	locrisk260.1	TempEst	FastTree
82	1948.3630000000001	ZM	ZA	locrisk260.1	TempEst	FastTree
83	1996.5	ZA	BW	locrisk260.1	TempEst	FastTree
84	2014.5	ZA	PK	locrisk260.1	TempEst	FastTree
85	2009.49999	ZA	MW	locrisk260.1	TempEst	FastTree
86	2010.6342400000001	ZA	NG	locrisk260.1	TempEst	FastTree
87	1955.9561600000002	ZA	IN	locrisk260.1	TempEst	FastTree
88	2015.76575	IN	BE	locrisk260.1	TempEst	FastTree
