"Metastates","Degree.Centrality","Indegree.Centrality","Outdegree.Centrality","Betweenness.Centrality","Closeness.Centrality","Source.Hub.Ratio","dataset","mlt"
"AR",1,1,0,0,0.0117647058823529,0,"locrisk260.1","FastTree"
"BE",2,2,0,0,0.0142857142857143,0,"locrisk260.1","FastTree"
"BG",2,1,1,11,0.0138888888888889,0.5,"locrisk260.1","FastTree"
"BR",6,1,5,25.7333333333333,0.0172413793103448,0.833333333333333,"locrisk260.1","FastTree"
"BW",4,2,2,1.5,0.0158730158730159,0.5,"locrisk260.1","FastTree"
"CN",2,1,1,12,0.0108695652173913,0.5,"locrisk260.1","FastTree"
"DE",1,1,0,0,0.0135135135135135,0,"locrisk260.1","FastTree"
"DK",1,1,0,0,0.0108695652173913,0,"locrisk260.1","FastTree"
"ES",5,3,2,50.6,0.0144927536231884,0.4,"locrisk260.1","FastTree"
"ET",3,1,2,0.5,0.0131578947368421,0.666666666666667,"locrisk260.1","FastTree"
"GE",1,1,0,0,0.0125,0,"locrisk260.1","FastTree"
"IL",2,2,0,0,0.012987012987013,0,"locrisk260.1","FastTree"
"IN",4,1,3,33,0.0149253731343284,0.75,"locrisk260.1","FastTree"
"KE",6,4,2,12,0.0151515151515152,0.333333333333333,"locrisk260.1","FastTree"
"MM",1,1,0,0,0.00840336134453781,0,"locrisk260.1","FastTree"
"MW",8,4,4,93,0.0172413793103448,0.5,"locrisk260.1","FastTree"
"NG",2,2,0,0,0.0142857142857143,0,"locrisk260.1","FastTree"
"NP",1,1,0,0,0.0106382978723404,0,"locrisk260.1","FastTree"
"PK",1,1,0,0,0.0135135135135135,0,"locrisk260.1","FastTree"
"SE",10,3,7,60.8333333333333,0.0192307692307692,0.7,"locrisk260.1","FastTree"
"SN",1,1,0,0,0.0125,0,"locrisk260.1","FastTree"
"SO",1,1,0,0,0.010752688172043,0,"locrisk260.1","FastTree"
"TH",1,1,0,0,0.0101010101010101,0,"locrisk260.1","FastTree"
"TZ",8,5,3,40.8666666666667,0.0153846153846154,0.375,"locrisk260.1","FastTree"
"US",3,2,1,26,0.0158730158730159,0.333333333333333,"locrisk260.1","FastTree"
"UY",1,1,0,0,0.0117647058823529,0,"locrisk260.1","FastTree"
"YE",1,1,0,0,0.0126582278481013,0,"locrisk260.1","FastTree"
"ZA",14,4,10,138.4,0.0212765957446809,0.714285714285714,"locrisk260.1","FastTree"
"ZM",13,3,10,46.5666666666667,0.0188679245283019,0.769230769230769,"locrisk260.1","FastTree"
"AR",1,1,0,0,0.0111111111111111,0,"locrisk260.2","FastTree"
"BE",2,2,0,0,0.0149253731343284,0,"locrisk260.2","FastTree"
"BG",2,1,1,11,0.0142857142857143,0.5,"locrisk260.2","FastTree"
"BR",5,1,4,23.0833333333333,0.0158730158730159,0.8,"locrisk260.2","FastTree"
"BW",6,2,4,12.75,0.0166666666666667,0.666666666666667,"locrisk260.2","FastTree"
"CN",2,1,1,12,0.0114942528735632,0.5,"locrisk260.2","FastTree"
"DE",2,1,1,0,0.0140845070422535,0.5,"locrisk260.2","FastTree"
"DK",1,1,0,0,0.0125,0,"locrisk260.2","FastTree"
"ES",4,3,1,2.75,0.0158730158730159,0.25,"locrisk260.2","FastTree"
"ET",3,1,2,0.75,0.012987012987013,0.666666666666667,"locrisk260.2","FastTree"
"GE",1,1,0,0,0.0125,0,"locrisk260.2","FastTree"
"IL",3,2,1,12,0.012987012987013,0.333333333333333,"locrisk260.2","FastTree"
"IN",6,2,4,44.5,0.0161290322580645,0.666666666666667,"locrisk260.2","FastTree"
"KE",5,3,2,10,0.0166666666666667,0.4,"locrisk260.2","FastTree"
"MM",1,1,0,0,0.0087719298245614,0,"locrisk260.2","FastTree"
"MW",7,4,3,8.66666666666667,0.0163934426229508,0.428571428571429,"locrisk260.2","FastTree"
"NG",4,2,2,27,0.0153846153846154,0.5,"locrisk260.2","FastTree"
"NP",1,1,0,0,0.0112359550561798,0,"locrisk260.2","FastTree"
"PK",1,1,0,0,0.0112359550561798,0,"locrisk260.2","FastTree"
"SE",9,3,6,60.0833333333333,0.0185185185185185,0.666666666666667,"locrisk260.2","FastTree"
"SN",1,1,0,0,0.0125,0,"locrisk260.2","FastTree"
"SO",1,1,0,0,0.0114942528735632,0,"locrisk260.2","FastTree"
"TH",1,1,0,0,0.0103092783505155,0,"locrisk260.2","FastTree"
"TZ",9,6,3,36.9166666666667,0.0169491525423729,0.333333333333333,"locrisk260.2","FastTree"
"US",2,2,0,0,0.0131578947368421,0,"locrisk260.2","FastTree"
"UY",1,1,0,0,0.0111111111111111,0,"locrisk260.2","FastTree"
"YE",1,1,0,0,0.00961538461538462,0,"locrisk260.2","FastTree"
"ZA",17,7,10,161.5,0.0222222222222222,0.588235294117647,"locrisk260.2","FastTree"
"ZM",15,3,12,60,0.0188679245283019,0.8,"locrisk260.2","FastTree"
"AR",1,1,0,0,0.0116279069767442,0,"locrisk260.3","FastTree"
"BE",2,2,0,0,0.0153846153846154,0,"locrisk260.3","FastTree"
"BG",2,1,1,11,0.0147058823529412,0.5,"locrisk260.3","FastTree"
"BR",5,1,4,29.35,0.0169491525423729,0.8,"locrisk260.3","FastTree"
"BW",4,3,1,2,0.0166666666666667,0.25,"locrisk260.3","FastTree"
"CN",3,1,2,33,0.0153846153846154,0.666666666666667,"locrisk260.3","FastTree"
"DE",2,1,1,0,0.015625,0.5,"locrisk260.3","FastTree"
"DK",1,1,0,0,0.0120481927710843,0,"locrisk260.3","FastTree"
"ES",4,3,1,2.6,0.0158730158730159,0.25,"locrisk260.3","FastTree"
"ET",3,1,2,4,0.0140845070422535,0.666666666666667,"locrisk260.3","FastTree"
"GE",1,1,0,0,0.012987012987013,0,"locrisk260.3","FastTree"
"IL",2,2,0,0,0.0138888888888889,0,"locrisk260.3","FastTree"
"IN",6,2,4,39.25,0.0172413793103448,0.666666666666667,"locrisk260.3","FastTree"
"KE",5,3,2,10,0.0175438596491228,0.4,"locrisk260.3","FastTree"
"MM",1,1,0,0,0.0108695652173913,0,"locrisk260.3","FastTree"
"MW",7,3,4,27,0.0172413793103448,0.571428571428571,"locrisk260.3","FastTree"
"NG",2,2,0,0,0.0144927536231884,0,"locrisk260.3","FastTree"
"NP",1,1,0,0,0.0117647058823529,0,"locrisk260.3","FastTree"
"PK",1,1,0,0,0.0117647058823529,0,"locrisk260.3","FastTree"
"SE",14,6,8,117,0.0212765957446809,0.571428571428571,"locrisk260.3","FastTree"
"SN",1,1,0,0,0.012987012987013,0,"locrisk260.3","FastTree"
"SO",1,1,0,0,0.0119047619047619,0,"locrisk260.3","FastTree"
"TH",1,1,0,0,0.0105263157894737,0,"locrisk260.3","FastTree"
"TZ",9,5,4,41.55,0.0178571428571429,0.444444444444444,"locrisk260.3","FastTree"
"US",2,2,0,0,0.0149253731343284,0,"locrisk260.3","FastTree"
"UY",1,1,0,0,0.0116279069767442,0,"locrisk260.3","FastTree"
"YE",1,1,0,0,0.0135135135135135,0,"locrisk260.3","FastTree"
