"Metastates","Degree.Centrality","Indegree.Centrality","Outdegree.Centrality","Betweenness.Centrality","Closeness.Centrality","Source.Hub.Ratio","dataset","mlt"
"MB",3,2,1,0,0.166666666666667,0.333333333333333,"locrisk260.1","FastTree"
"OT",5,2,3,1,0.25,0.6,"locrisk260.1","FastTree"
"PI",3,1,2,0,0.166666666666667,0.666666666666667,"locrisk260.1","FastTree"
"SH",7,3,4,5,0.25,0.571428571428571,"locrisk260.1","FastTree"
"SM",2,2,0,0,0.166666666666667,0,"locrisk260.1","FastTree"
"MB",1,1,0,0,0.142857142857143,0,"locrisk260.2","FastTree"
"OT",5,2,3,2.5,0.25,0.6,"locrisk260.2","FastTree"
"PI",3,1,2,0,0.166666666666667,0.666666666666667,"locrisk260.2","FastTree"
"SH",5,2,3,1.5,0.2,0.6,"locrisk260.2","FastTree"
"SM",2,2,0,0,0.166666666666667,0,"locrisk260.2","FastTree"
"MB",2,1,1,0,0.166666666666667,0.5,"locrisk260.3","FastTree"
"OT",6,2,4,2.5,0.25,0.666666666666667,"locrisk260.3","FastTree"
"PI",4,2,2,0,0.166666666666667,0.5,"locrisk260.3","FastTree"
"SH",6,3,3,3.5,0.25,0.5,"locrisk260.3","FastTree"
"SM",2,2,0,0,0.166666666666667,0,"locrisk260.3","FastTree"
"MB",2,1,1,0,0.166666666666667,0.5,"locrisk378.1","FastTree"
"OT",5,2,3,2.5,0.25,0.6,"locrisk378.1","FastTree"
"PI",3,1,2,0,0.166666666666667,0.666666666666667,"locrisk378.1","FastTree"
"SH",6,3,3,4.5,0.25,0.5,"locrisk378.1","FastTree"
"SM",2,2,0,0,0.166666666666667,0,"locrisk378.1","FastTree"
"MB",3,2,1,0,0.166666666666667,0.333333333333333,"locrisk378.2","FastTree"
"OT",6,2,4,1,0.25,0.666666666666667,"locrisk378.2","FastTree"
"PI",4,2,2,0,0.166666666666667,0.5,"locrisk378.2","FastTree"
"SH",7,3,4,4,0.25,0.571428571428571,"locrisk378.2","FastTree"
"SM",2,2,0,0,0.166666666666667,0,"locrisk378.2","FastTree"
"MB",3,2,1,0,0.166666666666667,0.333333333333333,"locrisk378.3","FastTree"
"OT",6,2,4,1,0.25,0.666666666666667,"locrisk378.3","FastTree"
"PI",4,2,2,0,0.166666666666667,0.5,"locrisk378.3","FastTree"
"SH",7,3,4,4,0.25,0.571428571428571,"locrisk378.3","FastTree"
"SM",2,2,0,0,0.166666666666667,0,"locrisk378.3","FastTree"
"MB",3,2,1,0,0.166666666666667,0.333333333333333,"locrisk468.1","FastTree"
"OT",6,2,4,1,0.25,0.666666666666667,"locrisk468.1","FastTree"
"PI",4,2,2,0,0.166666666666667,0.5,"locrisk468.1","FastTree"
"SH",7,3,4,4,0.25,0.571428571428571,"locrisk468.1","FastTree"
"SM",2,2,0,0,0.166666666666667,0,"locrisk468.1","FastTree"
"MB",2,2,0,0,0.166666666666667,0,"locrisk468.2","FastTree"
"OT",6,2,4,1,0.25,0.666666666666667,"locrisk468.2","FastTree"
"PI",4,2,2,0,0.166666666666667,0.5,"locrisk468.2","FastTree"
"SH",6,2,4,1,0.25,0.666666666666667,"locrisk468.2","FastTree"
"SM",2,2,0,0,0.166666666666667,0,"locrisk468.2","FastTree"
"MB",4,2,2,0,0.166666666666667,0.5,"locrisk468.3","FastTree"
"OT",7,3,4,2,0.25,0.571428571428571,"locrisk468.3","FastTree"
"PI",4,2,2,0,0.166666666666667,0.5,"locrisk468.3","FastTree"
"SH",7,3,4,2,0.25,0.571428571428571,"locrisk468.3","FastTree"
"SM",2,2,0,0,0.166666666666667,0,"locrisk468.3","FastTree"
"MB",3,2,1,0,0.2,0.333333333333333,"locrisk527.1","FastTree"
"OT",6,2,4,2,0.25,0.666666666666667,"locrisk527.1","FastTree"
"PI",3,1,2,0,0.166666666666667,0.666666666666667,"locrisk527.1","FastTree"
"SH",5,2,3,1,0.25,0.6,"locrisk527.1","FastTree"
"SM",3,3,0,0,0.2,0,"locrisk527.1","FastTree"
"MB",3,2,1,0,0.2,0.333333333333333,"locrisk527.2","FastTree"
